feature,importance
reussite_academique,0.5470896824347433
qualite_sommeil,0.18937845004437748
relation_prof_etudiant,0.05546162210118019
besoins_elementaires,0.036339233491300235
estime_de_soi,0.02853274734058146
problem_respiratoire,0.02251836390984594
securite,0.021113063869938012
column00,0.016371629992340733
harcelement,0.01355164214660155
charge_travail,0.01287755444449861
conditions_vie,0.010387013172528483
niveau_bruit,0.009702583005617734
pression_des_paires,0.008206902947729005
activites_extrascolaires,0.007840547832589216
depression,0.007156026195482549
maux_de_tete,0.00650170404236587
soutien_social,0.0035480081565864366
niveau_anxiete,0.002020263858703969
perspective_insertion_professionnelle,0.0014029610129888718
historique_sante_mentale,0.0
tension_arterielle,0.0
